HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
Three Bedrooms,32.669383,-96.77439,-10772875.816629667,3851501.8624111107,4305,75241,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,57481,57713,57838,58286,58687,58929,58938,58794,58805,59006,59349,59437,59180,58937,58915,58968,58812,58778,58810,58922,58894,58708,58443,58507,58892,59020,58914,58372,58323,58413,58884,59566,60203,60623,60766,60802,61124,61702,62491,63380,63967,64382,64755,65044,65030,65073,65245,65674,65950,66354,66500,66748,67036,67359,67413,67230,67514,67802,68179,68222,68331,67948,67932,67639,67670,67314,67196,67353,67376,67549,67528,67656,67360,67416,67315,67729,67686,68352,68889,69531,69822,70306,70814,71553,71870,72053,71701,71697,72120,72480,72664,72559,72839,72702,72523,72177,72817,74030,75913,76789,77116,76842,77042,77397,77598,77981,78424,78770,79219,78906,78625,78270,78186,78464,78500,78626,78600,78292,78385,78412,78352,78463,78385,78704,79177,79682,79942,79947,79984,80634,80665,80930,80779,80988,81346,81654,81726,81471,81346,81518,82030,82221,82427,82194,81423,79829,77960,76443,75357,74395,73717,72476,71281,69797,68556,67429,66999,67402,67907,68144,67914,67487,66901,66721,66556,66356,66295,66208,66158,65710,65421,65157,64859,64796,64404,64092,63064,62391,61623,61736,61072,60174,58763,57962,57028,56436,55997,55874,55882,55992,55902,55070,54791,55006,55635,55575,56077,55956,56172,55757,55780,55568,55544,55756,56476,56894,57358,57437,57517,58174,58928,59600,60203,60745,61438,61778,61453,61465,61422,62208,62588,62736,62535,63368,64859,66496,67846,69176,71014,72420,73941,75432,77398,79355,81253,82441,82807,83562,84525,85893,87238,88714,90321,91335,92309,93443,94871,96189,97378,98187,99131,100560,100761,101214,101331,103073,104787,106395,107985,109153,110917,112922,115313,116998,119006,120995,123185,124778,126503,128264,129886,131964,133439,135054,136272,138084,140261,142378,144114,145448,146183,146961,147738,148862,150296,150197,150042,149210,150092,150760,152068,152880,154123,155330,156581,157381,158084,159870,161834,164218,165020
Four Bedrooms,32.669383,-96.77439,-10772875.816629667,3851501.8624111107,4305,75241,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,71343,71750,72016,72894,73684,74391,74709,74940,75159,75394,75727,75886,75609,75103,74792,74667,74481,74292,74356,74418,74486,74451,74293,74371,74830,75491,76004,75682,75565,75481,75789,76224,76792,77355,77733,77847,78360,79134,80168,81270,82165,82995,83721,84373,84387,84534,84818,85534,85831,85808,85482,85498,85552,85761,85479,85004,85055,85020,85278,85238,85365,85249,85481,85535,85932,85752,86112,86762,87549,88260,88621,88727,88456,88277,88097,88289,88204,88758,89007,89292,89122,89416,89656,90365,90478,90546,90022,89942,90244,90572,90883,90962,91270,90807,90345,90044,90926,92750,95183,96618,97121,97082,97567,98260,98580,99219,100049,100678,101350,100872,100334,99586,99405,99440,99046,98791,99080,99352,99831,99789,99736,100013,100351,100913,101535,102221,102718,102838,102602,102910,102909,103480,103436,103636,103747,104194,104463,104728,104985,105762,106637,107039,106884,106217,104968,102816,100485,98593,97206,95561,94130,92120,90375,88595,87002,85559,84780,84977,85417,85257,84709,84016,83633,83686,83669,83255,83149,82840,82622,82103,81657,81552,81209,81140,80308,79373,77906,77024,76077,76187,75874,75110,73663,72506,71802,71541,71338,71238,71393,71513,71682,70896,70724,71151,72237,72401,72391,71974,72507,72451,72353,72010,72101,72638,73244,73456,73547,73689,73750,73799,73994,74705,75701,76416,76890,77218,77509,78232,78886,79729,80736,82144,82312,83128,84300,86667,88440,89904,90446,90698,91291,93232,95563,97229,99149,100009,100675,100929,102058,103655,105917,108068,109873,110817,111740,113645,115930,118240,119977,121420,122809,124099,124987,126396,128153,130546,132384,133598,134648,135637,137281,138875,140747,142416,144388,145964,147461,148463,150029,151223,152428,154116,155530,157050,157809,159035,160613,162217,163569,164695,165579,166807,168001,169177,170283,170926,171670,172233,173046,173915,175061,176233,177442,178698,180003,181054,182162,183614,185372,187119,188462
Five Bedrooms And More,32.669383,-96.77439,-10772875.816629667,3851501.8624111107,4305,75241,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,69433,69705,70016,70758,71578,72277,72731,72945,72854,72813,72846,73019,72656,72172,71699,71739,71624,71542,71477,71692,72515,73220,73823,74123,75150,76305,77338,77021,76782,76623,77069,77513,77722,77838,77766,77679,77713,78306,79171,80513,81500,82509,83168,83890,84022,84451,85048,86018,86470,86359,85925,85982,86090,86278,86096,85431,85406,85242,85642,85846,86229,86289,86508,86458,86874,86821,87276,88226,89204,90045,90119,90080,89821,89985,90368,90830,91077,91618,92012,92489,92789,93616,94277,95014,95114,95310,94979,95051,95344,95879,96419,96552,96381,95569,95115,95249,96434,97882,99839,101048,101623,101535,101833,102161,102701,103314,104382,104913,105611,105503,105039,104568,104280,104377,103883,103760,104153,104715,105176,105130,104837,105023,105735,106499,107376,108314,109249,110015,109790,110122,109976,110668,110732,110723,110408,110567,110832,111152,111183,111274,112078,112654,113002,112384,111609,110136,108495,106549,105358,104027,103537,102140,100795,98826,96880,95323,94267,94221,94403,94663,93965,92764,91332,91646,92086,92623,92950,93153,93252,93085,92883,93057,92953,93401,93280,92201,90444,89179,88678,89157,89549,89287,88564,87419,86801,86649,86557,86720,86806,86738,86180,84542,83718,84033,84746,84658,84211,83457,83689,83683,84173,84044,84312,85171,85924,86022,85884,86522,87351,88318,89248,89840,89968,90334,91130,92041,92268,92447,93058,93676,95073,96049,95925,96883,98784,101464,102824,103380,103722,104024,104684,106426,107954,109321,110947,111712,112078,112269,113577,115860,119237,122816,125493,126995,128308,130659,133460,135932,137995,140086,142319,144296,144777,145771,147385,150256,152241,153585,154508,154781,155832,156614,158527,159880,161684,162920,164546,165480,167820,169807,172066,175456,178145,180977,181931,183408,185657,188120,189625,190645,191267,192127,192832,192926,194041,194389,195154,195359,195831,196406,197436,198881,200137,201615,203247,205004,206252,208219,210773,213828,216395
Single-family Residences,32.669383,-96.77439,-10772875.816629667,3851501.8624111107,4305,75241,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,63921,64200,64328,64876,65328,65626,65597,65516,65606,65913,66351,66435,66144,65836,65871,65977,65860,65851,65944,65966,65792,65464,65080,65179,65590,65763,65612,64868,64705,64681,65217,66026,66825,67329,67528,67558,67924,68516,69300,70280,71053,71607,72029,72234,72171,72148,72274,72687,73006,73505,73653,73892,74008,74303,74218,74007,74259,74587,75067,75156,75287,74819,74891,74722,74972,74742,74795,75158,75258,75490,75447,75661,75370,75482,75254,75538,75332,75895,76403,76936,77246,77785,78469,79334,79589,79699,79407,79537,80092,80411,80614,80517,80836,80602,80180,79450,80108,81477,83575,84483,84779,84707,84970,85440,85593,85985,86473,87037,87631,87323,86994,86627,86634,86772,86681,86676,86600,86249,86292,86226,85961,85906,85600,85694,85812,86169,86313,86228,86170,86792,86923,87279,87243,87468,87840,88194,88505,88491,88506,88624,89149,89329,89659,89429,88897,87380,85633,84254,83224,82124,81356,80384,79454,78192,76704,75508,74596,74956,75395,75544,75124,74573,74071,73740,73463,72959,72687,72175,72172,71855,71729,71411,70849,70501,69586,68817,67333,66323,65278,65179,64262,62659,60606,59195,58253,57551,57072,56957,56773,56738,56388,55619,55191,55500,56067,56107,56325,56043,56040,55362,55363,55289,55735,56120,56870,57071,57272,57229,57221,57998,58940,59749,60159,60245,60456,60498,60331,60585,60804,61521,61969,62129,61795,62303,63620,65255,66401,67272,67699,67922,68431,69601,71067,72272,73631,74390,74399,74652,75416,76762,78047,79318,80678,81750,82713,83820,85040,86652,88311,89678,90735,92073,94002,96187,98049,99545,101106,102624,104273,105361,107023,109004,111447,113309,114844,116355,117995,119910,122154,124641,126790,129101,130713,132505,134043,136137,138089,139923,141353,142703,143340,143961,144681,145852,147321,147060,146753,145875,146792,147466,148658,149380,150483,151480,152558,153330,154104,156099,158219,160713,162001
One Bedroom,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119177,119823,120984,123038,126571,130815,134884,137404,138258,138135,137696,138852,140250,141672,141563,142226,140799,137822,135240,136157,140301,145684,151147,153275,155171,158022,163735,168912,173857,178965,182508,182837,181548,180799,181056,182639,182899,184293,184605,184702,183483,183969,186492,189508,190701,190834,189668,188739,189814,190048,189355,187474,186692,186131,184831,185256,186104,186748,187495,188006,188284,187728,188482,191122,194168,195409,195635,193457,194219,195396,198139,199314,200009,201517,202470,202360,201588,201677,202494,204210,203675
Two Bedrooms,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,189016,188571,189853,191277,192441,191654,190146,190042,190308,192063,192668,193722,193828,194695,193457,192170,190925,191981,193281,192699,191909,189346,188406,186478,185557,184556,184001,182933,182029,181585,182371,182994,183312,183121,182752,182901,183853,184938,186264,188330,190687,192817,194209,195569,196156,196970,197908,199181,199593,200054,200483,200337,199740,199216,198690,198116,198121,197927,197276,196581,196702,196166,195521,194976,195552,195650,196093,196590,196418,196778,197488,198383,198523,198407,198186,198212,197648,197168,196326,195783,196143,195915,195589,195046,194105,193713,193161,193352,193660,194841,195770,196185,196105,196719,197352,197992,199506,201957,204328,205154,204307,203038,202930,203639,204235,204379,205009,205837,207689,207863,208529,208977,211002,212985,214576,215734,216885,217428,218336,218708,218565,219623,221116,222469,223119,223525,223178,222662,222286,223897,224922,226332,227418,227662,227182,226628,227444,227545,227891,228449,230256,231295,231934,232706,233013,232221,231431,232336,233223,235057,236932,238387,237825,236176,234319,232809,230830,231181,231446,231997,231197,229887,228788,228514,229589,230310,230953,229809,228861,227191,225927,224124,222448,221512,220105,217678,214032,211573,209858,209843,210125,209351,207964,206103,205034,204205,203252,203008,202931,202526,201649,200271,199306,200223,201889,202906,203145,202437,203406,204230,205594,206974,208799,210926,212601,213090,213790,215837,218559,221491,223528,225567,227871,230280,232269,233825,235222,237493,238910,239999,241391,243793,245687,247995,250126,252113,254000,256050,259230,261670,265077,267973,269667,270695,271802,273990,276118,278729,281198,283878,285035,285769,286140,287780,290754,293724,297288,297180,296844,296586,298765,300513,301928,304203,306371,309485,313073,316791,319214,322361,326203,330249,333031,336191,339547,342798,345833,347076,346797,345355,344776,346480,348060,349341,349210,349496,350872,352494,354093,354864,355381,356479,358426,359983,360592,359081,358246,357384,357748,357363,357336,357747,358928,360174,360593,360107,360215,362024,364240,366280,366888
Three Bedrooms,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,475360,474238,472665,472696,474075,476932,478142,479791,479658,480940,482154,486234,490603,496040,500627,502213,500131,498322,497533,497954,501754,505584,509690,508672,506241,503397,504658,504955,508578,508248,510580,509808,508874,503807,499536,496830,498276,499249,500354,503318,506969,511986,516788,522682,525552,531861,536796,544046,545415,549966,552903,557313,560305,563164,564783,565416,568135,569812,571479,571511,573779,572019,571345,570133,570651,571274,573036,577991,581654,585367,587201,589578,591362,593723,594577,595621,595243,596231,595970,594962,595145,594798,596058,598102,597489,597669,594807,595406,596636,600270,602576,602839,602356,603412,605452,605279,608742,614660,624924,628853,628771,623158,621139,621871,623643,625132,626008,628385,632884,633666,634647,634773,637817,643246,647608,651015,653621,653634,655747,655909,657510,661694,664749,668757,671630,676113,678588,679614,681214,688022,693149,699074,701177,702833,706548,712152,719117,722412,724447,728303,732247,734268,736943,740061,739993,733367,725158,718308,715226,714106,718299,720890,720968,717524,708256,700959,695408,700373,703786,708007,708924,710134,707342,703756,703186,703046,707662,707861,708606,703131,698198,692353,685810,679138,672397,666287,657501,651718,645777,645926,645226,644025,640009,636219,633992,632209,630595,630272,631529,631606,631510,628187,627602,631114,639046,644082,646990,648909,654552,660546,665482,668958,672160,676389,682129,686883,692919,698906,706299,713775,722475,729899,740342,750692,762079,770729,773848,776759,777811,784297,791800,801769,804337,808631,810176,816136,821088,827938,838384,846937,855909,863245,869608,874628,880418,887819,895627,902055,907766,914489,917372,920204,921673,925342,929135,932252,939049,941336,944429,946035,950544,953334,955846,959544,963595,965047,966756,968132,968969,966915,965861,966799,970070,972630,976337,978808,981036,984417,988072,990097,988779,990440,990402,992671,991705,995255,996869,999490,999865,998764,994791,991664,989980,991009,992645,984975,977812,969418,972506,974663,979258,981853,987072,993073,1000053,1004808,1010375,1022444,1036099,1049890,1056590
Four Bedrooms,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,670066,665601,667510,668825,673384,677452,679699,683367,685491,692535,700061,709522,717006,728059,730444,733314,734099,740018,747403,752407,761083,763149,764885,763034,766419,773273,785753,793797,797154,793437,794787,797006,799771,799780,800755,802069,801952,797538,797901,804056,813470,823361,827202,832149,831696,838668,844210,854679,859819,868735,872528,877589,880152,884011,886436,887074,889880,891532,895468,897940,902120,900054,898846,895982,896446,894026,894179,897612,902514,905818,907141,907441,907430,909452,910681,912877,913389,917127,920723,922764,924266,925536,927791,931215,931618,931672,929062,928339,930104,932533,934114,934627,936109,938869,940702,941980,947842,960561,975652,982899,980681,974845,973337,974264,974297,973959,975549,976536,981413,978520,977999,976170,980886,989113,995589,1000003,1002679,1001561,1004014,1004469,1006349,1011729,1015994,1022191,1025921,1029258,1028929,1028317,1029576,1039390,1044138,1049620,1049402,1050183,1052861,1057373,1062309,1063809,1064458,1067699,1071746,1072685,1075793,1079597,1078891,1068929,1056347,1047531,1044815,1045319,1051852,1051695,1048231,1038915,1025831,1016317,1011221,1019061,1024902,1029396,1030830,1030696,1029678,1035593,1046305,1058438,1072344,1077486,1079996,1073822,1070304,1069654,1067038,1067112,1058924,1048111,1030732,1019722,1008430,1009319,1011724,1013422,1008738,1001071,996482,991057,989831,989229,993652,993799,994812,988024,983000,986494,998171,1006453,1009467,1010432,1019950,1028870,1035501,1040258,1047581,1057922,1068001,1071387,1075929,1086425,1100743,1115899,1125340,1137564,1151835,1168803,1181534,1191468,1199555,1210586,1217583,1221185,1226324,1235396,1238957,1240480,1240334,1243481,1249925,1257758,1269677,1280078,1292252,1306079,1317235,1325154,1335671,1347483,1359899,1369786,1377980,1387373,1392721,1397685,1401069,1405646,1411402,1417695,1426375,1433081,1440303,1448201,1457037,1461852,1465344,1469491,1475633,1481104,1487654,1492523,1494861,1491235,1491297,1492290,1497791,1504172,1511037,1517265,1519488,1519687,1518266,1517086,1517242,1522050,1521196,1519419,1513980,1513454,1514040,1514993,1515262,1515648,1515183,1515100,1514596,1515235,1516609,1511905,1508545,1503002,1506500,1507819,1513679,1517065,1522259,1527909,1534149,1539013,1545851,1558337,1571469,1584960,1591845
Five Bedrooms And More,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,1079685,1076999,1079672,1082135,1089003,1088209,1085881,1078167,1078697,1084390,1095074,1102866,1111277,1118938,1118309,1117400,1112030,1121521,1129844,1147188,1156133,1163611,1162572,1163233,1161778,1168508,1184284,1191347,1197189,1191883,1196888,1198364,1198018,1183849,1172834,1164636,1162192,1155995,1145197,1149980,1152925,1165033,1166760,1171806,1169208,1178171,1186282,1200374,1208818,1219201,1227305,1234079,1240130,1247092,1253982,1257122,1265940,1273283,1283814,1288559,1294661,1291754,1293443,1290821,1294639,1290847,1290128,1293731,1299320,1303401,1306342,1308690,1311180,1313926,1314869,1317972,1320606,1327683,1334222,1339121,1341555,1343461,1344030,1347282,1346517,1346940,1344410,1344375,1346641,1350370,1352861,1353951,1356740,1361309,1364438,1367380,1375037,1394960,1416888,1428299,1426213,1419372,1419530,1422111,1423227,1425293,1430992,1435931,1445401,1441493,1440493,1438353,1444524,1454075,1460675,1465161,1468145,1463575,1464422,1462748,1464886,1471842,1477735,1485085,1489576,1494071,1492623,1490626,1490324,1503554,1509493,1515100,1512298,1510319,1510896,1514089,1518288,1518473,1517318,1520868,1526558,1527786,1529948,1532278,1528484,1513624,1495366,1482564,1477362,1476209,1484512,1483113,1476579,1461566,1444422,1434176,1429945,1441582,1451498,1459219,1462246,1462282,1460798,1466629,1479653,1495244,1515144,1520912,1522852,1514013,1509329,1509144,1507290,1509803,1500545,1489107,1467648,1454685,1438659,1441606,1447085,1451084,1443850,1433078,1425749,1418276,1416554,1416910,1424343,1425683,1427208,1417059,1408279,1411923,1428486,1440618,1446598,1449458,1464161,1477841,1487596,1494377,1505143,1520361,1536136,1541428,1547163,1560526,1580133,1599366,1608113,1618593,1633527,1655004,1670668,1682280,1691081,1705101,1714323,1718471,1722696,1732677,1741886,1748319,1752786,1754469,1763072,1772665,1790415,1805029,1822694,1841210,1856834,1869266,1882051,1895984,1910528,1927062,1942009,1957775,1965480,1973444,1980214,1989633,2000802,2011126,2024310,2040491,2055866,2071494,2082798,2091289,2100155,2110299,2122208,2133351,2145999,2158217,2165516,2162907,2165061,2169058,2179649,2191964,2203022,2212763,2214809,2215380,2213767,2212826,2215654,2223542,2223026,2222557,2218710,2221531,2223049,2224562,2224694,2221734,2217577,2214722,2212366,2209723,2211824,2201747,2194970,2181191,2183934,2184062,2190981,2196154,2203442,2209964,2215524,2221163,2226840,2242193,2256442,2273842,2280577
Condominium and Co-operative Homes,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,160427,159778,160836,161830,163016,162273,160972,161113,161721,163924,164616,166018,166615,168121,167245,166108,164358,165261,166464,165399,163971,160347,159346,157057,155810,154417,154104,153981,154150,154281,155067,156235,157076,157791,157648,158152,159220,160483,161622,163021,164714,166290,167609,168619,169069,170027,171283,172660,173112,173670,174312,174296,174056,173899,173861,173714,174305,174889,175033,174958,175384,174820,174238,173807,174125,174065,174046,174246,173728,173407,173572,174217,174392,174582,174530,174871,175005,174819,174488,174200,174874,174598,174072,173613,172968,173300,173393,174127,174694,176055,177095,177407,177262,178169,179193,179976,181349,182773,184104,184174,183084,181941,181524,182207,182534,182693,183259,183901,185405,185634,186495,187077,189026,190838,192603,193784,195365,196186,197215,197464,197321,198491,200287,201492,201948,202091,201631,200854,199976,200653,200923,202031,203007,203271,202082,201993,203136,204141,204815,206007,208648,210838,212220,213065,213180,212703,212670,213116,213531,214886,216857,217815,216057,213532,212356,212139,211670,212021,212995,214167,213959,212091,211000,211133,213065,213891,213989,212707,211926,210844,209020,206879,204887,204322,202287,200125,196767,195239,193501,192812,191759,189983,188334,186536,185583,184748,184140,183614,183246,182430,181591,180371,179734,180855,182447,183490,183745,183078,183967,184437,185500,186140,187299,188857,190197,190564,190730,191878,193658,195795,197025,198746,200709,203127,204809,205973,207111,208707,210416,211479,212558,214327,215743,218013,220021,222067,223755,225263,227565,229573,232013,234247,235726,236764,238008,239103,239811,240666,242100,244399,245103,245414,245161,246272,248462,250742,253459,254139,255139,256248,258439,259664,261155,263206,265518,268599,272014,275066,276420,276505,277516,278756,280964,283706,286250,288650,290128,290124,288867,287499,286730,288339,288748,289256,288129,287829,288639,289491,290766,290989,291559,292462,294680,296623,297829,297248,296747,295812,295828,295414,295442,295926,296635,297185,296757,295644,295401,296376,297851,299199,299320
Single-family Residences,32.862876,-96.7904,-10774658.041677266,3877117.15784378,4805,75225,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,675896,673082,673111,673878,674422,673407,670390,671399,672681,677442,682223,689494,697061,706025,709542,708887,710199,716835,725980,728866,733859,735847,738394,736270,737055,739510,747376,751103,752711,749847,750529,752377,752345,748257,744840,743516,739367,733036,729077,738069,748631,759602,765171,772267,775323,782709,788865,797601,802494,810950,815747,817398,817274,818351,819983,820160,823151,825660,829334,831335,835902,834186,834309,832184,832972,831373,832337,836265,840464,844172,846021,847823,849191,852169,853494,855886,856824,860068,862554,863931,865760,866518,868043,870413,869474,869294,866299,866166,867705,871835,873515,873720,873136,875379,877864,879345,885530,897051,911258,917036,914412,906749,904472,905351,906644,906836,907491,908560,912742,910434,910224,909490,914438,922201,928235,932151,934711,933640,936144,936580,938871,944207,948095,953323,956529,960685,961483,961785,963339,972849,978599,984924,985810,987156,990867,996340,1002713,1005283,1007152,1011398,1016226,1017902,1021189,1025070,1024811,1015779,1004066,995930,993239,993279,998844,999277,996932,989761,976906,967338,961071,967866,973028,977290,978764,978824,977583,980689,987944,995954,1007349,1011040,1012890,1006462,1002192,999752,995311,992606,983677,972805,956846,946349,936451,936886,938966,940316,936015,929062,924279,919740,918292,919008,923526,924923,925517,919740,915867,919578,930344,938136,941766,943492,952870,960991,967286,971020,977254,985871,994415,997651,1002353,1011935,1025449,1039329,1048537,1058418,1070570,1085390,1097952,1107765,1114398,1122651,1127226,1131206,1136127,1145160,1148148,1150665,1150730,1154220,1160091,1167446,1179306,1190043,1202601,1214672,1224158,1230459,1239667,1250913,1262984,1272917,1280710,1289630,1294424,1298827,1301653,1306359,1312112,1318178,1326867,1333425,1340733,1348278,1356763,1361858,1365595,1369950,1375748,1380482,1386379,1391063,1393162,1389394,1388356,1388954,1394001,1399767,1406209,1411913,1414178,1415089,1414451,1413902,1414284,1419060,1418385,1417628,1413392,1414614,1415262,1416340,1416389,1416499,1415545,1415351,1414996,1415766,1418450,1412214,1407355,1398847,1402349,1404078,1410043,1413200,1418362,1423776,1429871,1434826,1441060,1454683,1468991,1484672,1492407
